to	~쪽으로, ~에게
miser	구두쇠
mold	틀, 성질
mourning	애도, 상복
negligence	태만
opponent	대립자, 적
optimist	낙천가
parliament	의회, 국회
pattern	모범, 모양
peer	귀족, 물끄러미 보다
persuasion	설득
philosopher	철학자
pier	부두
pioneer	개척자, 선구자
planet	혹성
praise	칭찬
preface	서문
procedure	진행, 처리
project	계획
prospect	전망, 조망
pursuit	추적, 추구
quotation	인용
rein	고삐
scent	냄새, 단서
sigh	한숨
snare	덫
sojourn	체재
solitude	고독
spectator	구경꾼
steel	강철
strife	투쟁
stuff	재료, 채우다
surface	표면
synthesis	종합
abstract	추출하다, 추상적인
accommodate	수용하다
adapt	적응시키다.
advance	전진하다
advocate	포옹하다
anticipate	기대하다
ascertain	확인하다
astound	놀라게 하다
award	수여하다, 상
bewilder	당혹시키다.
celebrate	축하하다
cite	인용하다.
comment	비평하다
compound	합성하다
compromise	타협하다
confine	제한하다
convert	바꾸다
damn	저주하다
destroy	파괴하다
emigrate	이주하다
entertain	대접하다
exaggerate	과장하다
execute	실행하다
exhibit	전시하다.
found	설립하다
hasten	서두르다
illustrate	예증하다
indicate	가리키다
injure	상처 입히다.
intend -	할 생각이다.
interrupt	방해하다.
irritate	초조하게 하다
operate	조작(수술)하다.
ordain	명하다
persecute	박해하다
precede -	의 앞에 일어나다
produce	생산하다.
prolong	연장하다
protest	항의하다
recommend	추천하다
resent	화를 내다
seize	잡다
separate	분리하다
spoil	망치다
stifle	질식시키다.
strive	노력하다
summon	불러내다.
suspect	의심하다.
torment	괴롭히다.
transport	수송하다
accurate	정확한
ancient	고대의
appropriate	적절한
arrogant	거만한
awkward	어색한
bold	대담한
characteristic	독특한
conscious	의식하는
contemporary	현대의
daring	대담한
decent	훌륭한
disinterested	공평한
divine	신성한
enthusiastic	열광적인
fluid	유동성의
huge	거대한
humane	인정미가 있는
imaginative	상상력이 풍부한
inadequate	불충분한
individual	개인의
inevitable	피할 수 없는
ingenious	영리한
initial	최초의
insane	광기의
intimate	친밀한
legal	합법적인
literate	읽고 쓸 줄 아는
loyal	충실한
medieval	중세의
modern	현대의
naughty	버릇없는
obvious	명백한
physical	육체의
pious	경건한
proficient	숙달한, 능숙한
public	공공의
respective	각자의
sacred	신성한
sensitive	민감한
shrewd	통찰력이 있는
sincere	성실한
spiritual	정신적인
subtle	미묘한
striking	눈에 띈, 현저한
suitable	적절한
sympathetic	인정 있는
thorough	철저한
vain	무익한, 허황된
vicious	심술궂은, 악덕의
wretched	참혹한, 비참한
access	접근
adaptation	적응
agency	대리점
alliance	동맹
ambassador	대사
anarchy	무정부상태
antipathy	반감
appetite	식욕
architecture	건축
ascent	오름
astronomy	천문학
barrier	장애, 장벽
benefit	이익, 은혜
bomb	폭탄
bravery	용기
bribe	뇌물
budget	예산
catastrophe	대 재해
cell	세포, 독방
chaos	무질서, 혼란
circumstance	환경, 사정
communism	공산주의
complement	보어
concept	개념
conscience	양심
consequence	결과
contrast	대조
countenance	표정
coward	겁쟁이
creature	생물, 창조된 것
debt	부채
decrease	감소
extract	추출물
faculty	능력
fare	운임
fatigue	피로
flesh	고기, 육체
haven	항구, 정박소
heir	상속인
hypocrisy	위선
import	수입
inference	추론
insight	통찰력
instrument	도구, 악기
intension	긴장
intercourse	교제
interval	간격
irony	비꼼
label	딱지
lavatory	세면장, 화장실
literature	문학
mankind	인류
maxim	격언
mechanism	기구, 구성
memorandum	메모, 비망록
mischief	장난, 위해
misery	참혹함
monopoly	독점
muscle	근육
nuisance	피해, 귀찮은 것
opportunity	기회
patriotism	애국심
perfume	향수, 향기
phenomenon	현상
physics	물리학
piety	경건, 효도
post	기둥, 우편, 지위
predecessor	전임자, 선배
principle	주의, 원리
progress	진보
propriety	예의, 적당
psychology	심리학
quay	선착장
rebate	할인, 환불
resignation	사직
sacrifice	희생
scope	범위, 시야
significance	의의, 중요성
site	부지, 위치
society	사회
soul	영혼, 사람
sovereign	주권자, 군주
solace	위로
spectacle	관경, (복)안경
spirit	정신
stimulus	자극
subtlety	미묘함
suit	옷, 소송
supplement	부록, 보충
sword	검
tail	꼬리
talent	재능
theory	이론
throne	왕좌
tribe	부족, 종족
tyrant	전제군주, 폭군
vein	혈관, 기질
wage	임금, 급료
virtue	미덕, 장점
witness	증인, 목격자
acknowledge	인정하다
admit	인정하다
appreciate	인식(감사)하다
attempt	시도하다
betray	배반하다
boast	자만하다
calculate	계산하다
cast	던지다. 배역
claim	요구(주장)하다
coincide	일치하다
combine	연결시키다
complete	완성하다
compute	계산하다
concern	관계하다
congratulate	축하하다
construct	건설하다
create	창조하다
declare	선언하다
demand	요구하다
develop	발달하다
display	전시하다
divide	나누다
entrust	맡기다
exceed	넘다, 이기다
expend	소비하다
generate	발생시키다
grasp	잡다, 이해하다
hesitate	주저하다
impress	인상(감명)을 주다
inherit	상속하다
inspect	검사하다
judge	판단하다
launch	발사(시작)하다
meditate	숙고(명상)하다
oblige	의무를 지우다
obtain	얻다
outnumber -	보다 수가 많다
overburden	지나치게 부담주다
overestimate	과대평가 하다
overwhelm	압도하다
perform	실행하다
permit	허락하다
predict	예언하다
prescribe	처방하다
pretend	가장하다
prohibit	금지하다
propose	제안(신청)하다
protect	보호하다
publish	출판하다
pursue	추적하다
react	반응하다
recover	회복하다
reinforce	보강하다
relax	긴장을 풀다
relieve	제거하다
remove	제거하다
require	요구하다
resign	사직하다
revive	부활하다
select	고르다
simplify	간단히 하다
steer	조종하다
subscribe	서명하다
support	지지하다
suspend	매달다, 연기하다
undertake	떠맡다
urge	재촉하다
abrupt	퉁명스러운
chemical	화학의
conspicuous	현저한
distinct	분명한
earnest	진지한
engaging	매력적인
eternal	영원한
fair	공정한, 정기시장
final	최후의
fluent	유창한
furious	사나운
genuine	진짜의
immediate	즉시의
inborn	타고난, 선천적인
innate	타고난, 선천적인
irregular	불규칙한
major	주요한
material	물질적인, 재료
medial	중간의
miniature	소형의, 모형
mournful	슬픔에 잠긴
obscure	모호한, 애매한
occasional	때때로
persistent	끈질긴
precious	귀중한
preferable	바람직한
preliminary	예비의
priceless	매우 중요한
primitive	원시의
promising	장래 유망한
rapid	급속한
reasonable	타당한
restless	침착하지 못한
ridiculous	어리석은
secure	안전한
shameful	부끄러워하는
steadfast	확고한
steep	가파른
sublime	숭고한
timid	소심한
trivial	사소한
trustworthy	신뢰할 수 있는
unanimous	만장일치의
visible	눈에 보이는
accident	사고, 우연
ambition	야망
bait	유혹, 먹이
bond	굴레, 속박
brute	짐승, 잔인한 사람
cancer	암
civilization	문명
colony	식민지
companion	동료
compassion	동정
conduct	행위, 지휘하다
criminal	범인, 범죄의
damage	손해(를 주다)
death	죽음
dialect	방언, 사투리
doctrine	주의, 학설
economy	경제, 절약
emotion	정서, 감정
envy	부러움(워하다)
estate	재산, 지위
explanation	설명
explosion	폭발
factory	공장
folly	어리석음
function	기능
generosity	관용, 관대
grade	단계, 학년, 성적
gravitation	중력, 인력
grief	슬픔
hell	지옥
horizon	지(수)평선
illumination	조명
income	수입, 소득
invitation	초대
legend	전설
lung	허파
maintenance	유지, 주장
manifestation	명시
mariner	수부, 선원
merchandise	상품
merit	장점
method	방법
mission	사명, 사절단
monotony	단조
obligation	의무
observance	준수, 의식, 습관
occasion	경우, 기회
offspring	자손
optimism	낙천주의
organization	조직
owner	소유주
pastime	기분전환, 오락
policy	정책, 방법
popularity	인기
postscript	추신
poverty	가난
preparation	준비
privilege	특권
product	생산물, 작품
profession	직업, 공언
propaganda	선전
prophecy	예언
punishment	벌
regulation	규칙
relation	관계
relief	안심, 구원
reparation	배상
research	연구, 조사
restoration	회복, 부흥
ruin	파멸(시키다)
seed	씨
shortage	부족
solution	해결
status	지위, 상태
suggestion	제안
survival	생존
symptom	징후, 징조
tax	세금
telegram	전보
tendency	경향, 추세
threat	협박
tradition	전통
treaty	조약
usage	사용(법)
value	가치, 평가하다
vision	시력, 통찰력
vigor	정력, 활력
vogue	유행
weapon	무기
accomplish	완성하다
acquire	획득하다
appoint	임명하다
attain	달성하다
bless	축복하다
broadcast	방송하다
carry	운반하다
cherish	소중히 하다
classify	분류하다
combat	싸우다
compel	강제하다
complicate	복잡하게 하다
conceive	(생각 등을) 품다
conclude	결론을 내리다
consider	숙고하다
convey	전하다
debate	논쟁하다
defend	막다, 변호하다
demonstrate	표시하다
discharge	발사하다
disturb	방해하다
encourage	용기를 북돋우다
estimate	평가하다
exclude	제외하다
explore	탐험하다
forbear	참다
graduate	졸업하다
grow	성장하다
identify	동일시하다
improve	진보하다
innovate	혁신하다
invent	발명하다
lament	한탄하다
mar	흠나게 하다
misunderstand	오해하다
observe	관찰하다
outdo -	을 이기다
overact	지나치게 행동하다
overcome	정복하다
pant	헐떡이다
perish	죽다, 멸망하다
pierce	꿰뚫다
prepare	준비하다
preside	사회를 보다
prevent	방해하다
promote	승진시키다
prosper	번영하다
prove	증명하다
qualify	자격을 주다
recite	암송하다
regulate	규정하다
relate	관련시키다
release	해방하다
remain	남다
repair	수리하다
reproach	비난하다
reserve	보존(예약)하다
restore	회복시키다
scorn	경멸하다
soothe	달래다
struggle	투쟁하다
supply	공급하다
surpass	보다 우수하다
treat	다루다, 대접하다
unify	통일하다
warn	경고하다
absurd	어리석은
adequate	충분한, 적당한
ambiguous	애매한
concrete	구체적인
critical	비평의
disobedient	순종하지 않는
domestic	가정의, 국내의
eccentric	별난
enormous	거대한, 막대한
exact	정확한
feudal	봉건제의
flexible	유연한
fortunate	행운의
fundamental	기초의
gentle	친절한
gigantic	거대한
illegal	비합법적인
immoral	부도덕한
inclusive	모든 것을 포함하는
involuntary	무의식의
irresponsible	무책임한
marine	바다의
mature	성숙한
military	군대의
monthly	매월의
neutral	중립의
obstinate	완고한, 고집 센
precise	정확한, 정밀한
prehistoric	유사이전의
premature	조숙한
prime	제일의, 주요한
profound	심오한
proper	적당한
radical	근본(급진)적인
rational	합리(이성)적인
reserved	보류된, 예약된
revolutionary	혁명적인
savage	야만적인
selfish	이기적인
shy	수줍은
steady	확실한, 착실한
stern	엄격한
supreme	최고의
tranquil	조용한
tropical	열대의
ultimate	최후의
universal	일반적인
vulgar	저속한, 천한
aid	원조, 돕다
alarm	놀람, 경보
analogy	유사
argument	논의
barbarian	야만인
biology	생물학
canal	운하
charity	자선사업, 박애
column	(신문 등의)난
conceit	자만
crime	죄, 범죄
critic	평론가
dawn	새벽
decoration	장식
difficulty	곤란
ebb	간조
education	교육
emphasis	강조
epidemic	전염병
ethics	윤리학
expedition	탐험대
exploration	탐험
fame	명성
frustration	좌절, 욕구 불만
fund	자금, 기금
generation	세대
generous	관대한
gratitude	감사
gravity	중력, 중대함
grieve	슬퍼하다
hatred	증오
horror	공포
impulse	충동
indignation	분개
jealousy	질투
labor	노동(하다)
logic	논리(학)
luxury	사치(스러운 물건)
majority	다수파
manufacture	제조(하다)
marriage	결혼
merchant	상인
misfortune	불운
missionary	선교사
monster	괴물
murderer	살인자
nightmare	악몽
oblivion	망각
obstacle	장해(물)
occupation	직업, 점령
omen	전조
orbit	궤도
orient	동양
outbreak	발발
passage	통로, 경과
perseverance	인내
pollution	오염
portrait	초상화
posterity	자손
posture	자세
prejudice	편견
press	출판물, 신문, 잡지
probability	전망, 확률
prohibition	금지
property	재산, 특성
proposal	제안, 신청
relative	친척
removal	이동, 제거
reputation	평판, 명성
revolution	혁명
rumor	소문
shame	부끄러움
slang	속어
starvation	아사, 기아
submarine	잠수함
surplus	여분
symposium	토론회
temptation	유혹
tension	긴장
torture	고문, 괴롭히다
traffic	교통
triumph	승리, 대성공
utterance	발언, 발성
vanity	허영심, 공허함
vocation	직업
vow	맹세(하다)
adjust	조정하다
adorn	장식하다
allege	주장하다
allude	암시하다
animate	활기를 주다
apprehend	이해하다
assault	공격하다
assign	할당하다
assume	추정하다
befall	(나쁜 일이) 생기다
capture	잡다, 포획
commit	(죄, 과실을) 범하다
concede	양보하다
confirm	확실하게 하다
confront	직면하다
conserve	보존하다
conspire	공모하다
contradict	모순되다
cultivate	경작하다
define	정의하다
delay	지연시키다
deposit	맡기다, 저금
deserve	가치가 있다
detect	발견하다
determine	결정하다
dignify	위엄을 갖추다
discard	버리다
disdain	경멸하다
dismiss	해고(해산)하다
distract	(마음을) 돌리다
dominate	지배하다
embark	출항하다
embrace	포옹하다
establish	설립하다
exalt	찬양하다
expose	드러내다
fix	고정(수리)하다
gather	모으다
hinder	방해하다
imply	암시하다
infect	감염시키다
inspire	(영감을)불어넣다
intoxicate	취하게 하다
invest	투자하다
kindle	불태우다
lure	유혹하다
measure	측정하다
multiply	증가시키다
negotiate	교섭하다
perceive	깨닫다, 이해하다
ponder	숙고하다
predicate	단정(서술)하다
prevail	보급하다, 이기다
rebuke	비난(하다)
reform	개혁(하다)
rejoice	기뻐하다
repose	휴식(하다)
rescue	구출(하다)
restrict	제한하다
retire	퇴직하다
retrogress	후퇴하다
scrutinize	자세히 조사하다
signify	의미하다
speculate	사색하다
sting	찌르다
subside	누그러지다
suppress	억압하다
sustain	유지(지지)하다
thrive	번영하다
transcend	초월하다
transform	변화시키다
undergo	경험하다
venture	모험(하다)
warrant	보증하다
acute	날카로운
annual	매년의
attractive	매력적인
ceremonial	의식의
congenial	성미가 맞는
contradictory	모순된
cordial	충성스러운
credulous	속기 쉬운
deplorable	한탄스러운
discreet	심려 깊은
efficient	능률적인
extravagant	사치스런
forlorn	고독한
gallant	용감한
humble	겸허한
impartial	공평한
impertinent	부적당한, 건방진
indebted	신세진
instructive	유익한
lofty	매우 높은
maximal	최대한의
multiple	다수의
negligible	하찮은
parallel	평행의
pensive	우울한
pertinent	적절한
possessed	신들린, 정신팔린
predominant	우세한, 유력한
primary	초보의, 주요한
prompt	신속한
punctual	시간을 지키는
relevant	관련된, 적절한
reverse	반대의
ripe	익은
sagacious	현명한
sheer	완전한
sinister	불길한, 사악한
sly	교활한
solitary	고독한, 쓸쓸한
straight	똑바른
substantial	본질적인
textile	직물(의)
transparent	투명한
upright	정직한
valid	유효한
venerable	존경해야 할
abstinence	절제
agony	고뇌
anguish	심한 고통, 고뇌
armament	군비
autobiography	자서전
benefactor	은인, 후원자
boredom	싫증
calamity	재난
caricature	풍자 만화
circulation	순환
colleague	동료
commodity	상품, 일용품
component	구성요소
concord	일치
confinement	감금
congregation	집회, 집합
consolation	위로
constitution	구성, 조직
contentment	만족
convention	인습, 회의
cradle	요람
creed	신조, 주의
decree	법령, 판결
delight	기쁨
destination	목적지
digest	요약, 소화하다
disaster	재난, 재해
discord	불화
disposition	기질, 배치
efficiency	능률
eminence	높은 곳, 탁월
evidence	증거
exertion	노력
fallacy	오류
fever	열(병)
formula	공식
fright	공포, 경악
genius	천재
glacier	빙하
heredity	유전(생물학적)
ideal	이상
implement	도구,시행하다
infancy	유년기
inhabitant	주민
intervention	개입
intuition	직관
issue	발행, 유출
legislation	입법, 법률
marvel	경이, 경탄하다
mob	폭도, 군중
modification	수정, 변경
multitude	다수, 군중
navigation	항해술, 항공술
net	그물, 순이익
nutrition	영양물
oracle	신탁
output	생산(고)
patience	인내(력)
perplexity	당혹
perspective	원근화법, 전망
plague	역병, 전염병
pomp	장관, 화려, 허세
proffer	제공(하다)
pulse	맥박(치다)
realm	왕국, 영토
reliance	신뢰
relish	풍미 취향
renown	명성
resemblance	유사(점)
retrospect	회상
revolt	반란
rigidity	엄격, 딱딱함
routine	정해진 일, 일상의
scheme	계획
sermon	설교
skyscraper	초고층 빌딩
snob	속물
speculation	사색
standpoint	입장
strain	긴장, 잡아당기다
administer	관리하다
affirm	단언하다
allot	할당하다
allure	유혹하다
annihilate	전멸시키다
approve	찬성(인정)하다
ascend	오르다
assemble	모이다
assimilate	동화하다
astonish	놀라게 하다
beguile	속이다
carve	조각하다. 새기다
compete	경쟁하다
confer	상담하다
conform	(규칙을)따르다
confuse	혼란시키다
console	위로하다
constitute	구성(설립)하다
convince	확신시키다
curse	저주(욕설)하다
defy	거부(무시)하다
depict	묘사하다
depress	기를 꺽다
destine	운명 지우다
detest	몹시 싫어하다
diminish	줄이다
discern	식별하다
disguise	변장시키다, 감추다
dispute	논쟁(하다)
diversify	변화시키다
dread	무서워하다, 공포
embarrass	당혹시키다
emerge	나타나다
evade	피하다, 모면하다
exclaim	외치다
extend	확장(연장)하다
flourish	번영하다
grant	인정하다
impair	손상하다
imprison	투옥하다
insert	삽입하다
instruct	가르치다
invade	투입(침입)하다
involve	포함(수반)하다
lurk	숨다, 잠복하다
modify	수정(변경)하다
muse	숙고(명상)하다
obstruct	방해하다
perplex	당혹시키다
preach	설교하다
predominate	지배(우세)하다
protract	오래 끌다
refine	맑게 하다
refresh	활기를 돋우다
renounce	포기(부인)하다
reproduce	재생(번식)하다
resist	저항하다
resume	다시 시작하다
retort	대꾸(하다)
revise	개정하다
slumber	자다, 잠
spur	자극(하다)
stoop	허리를 굽히다
superintend	감독(관리)하다
surmount	(곤란을)이겨내다
swell	부풀다, 팽창
throb	(심장이)고동치다
transcribe	베끼다
translate	번역하다
uphold	지지(지탱)하다
verify	확인하다
withdraw	철회하다
adverse	반대의, 불리한
ardent	열심인
audible	들리는
ceremonious	형식적인
comprehensive	포함하는
congregational	회중의
corrupt	부패한, 타락시키다
cruel	잔혹한
desolate	황폐한
diverse	다양한
evident	명백한
fierce	격심한
formal	형식적인, 정식의
genial	친절한, 온화한
immense	막대한, 거대한
impatient	참을 수 없는
incomparable	비교 할 수 없는
indignant	화난
keen	날카로운, 열심인
marvellous	놀랄 만한
miraculous	기적적인
mutual	상호간의
notable	저명한
pathetic	애절한, 슬픈
perilous	위험한
perverse	사악한, 못된
potent	유력한
prerequisite	미리 필요한
primeval	원시시대의
provident	용의주도한
quaint	이상한
remote	멀리 떨어진
robust	건강한, 강한
sanitary	위생적인
silly	어리석은
slender	가느다란, 희박한
solemn	엄숙한, 진지한
spontaneous	자발적인
sterile	불모의
strenuous	정력적인
sullen	부루퉁한
suspicious	수상한
tidy	정돈된
tremendous	무서운, 엄청난
utmost	최대한의
vast	광대한, 막대한
adolescence	사춘기
algebra	대수
apparatus	장치
aviation	비행, 항공
biography	전기
brevity	간결함
caution	주의, 경고
clue	실마리, 단서
competence	능력
compulsion	강제
concordance	일치
confirmation	확인
congress	회의
consolidation	강화
contagion	전염
context	문맥
conversion	전환
craft	기술
curiosity	호기심
defiance	도전, 무시
denial	부정, 거부
detective	탐정(의)
dialogue	대화
diplomacy	외교
discernment	식별
discordance	불화
dogma	교의, 교리
elusion	도피
enterprise	사업
evolution	진화, 발전
expedience	편의
fate	운명
flavor	풍미
frame	틀, 골조
geometry	기하학
grave	묘, 중대한
humanism	인도주의
inclination	경향, 취향
infant	유아
inspiration	영감
introspection	자기반성
investigation	조사
landscape	풍경
majesty	위엄
minister	장관
mockery	조롱, 놀림
monologue	독백
mutuality	상호관계
navy	해군
oath	맹세
pang	격통
pedestrian	보행자
persecution	박해
perspiration	발한
plausibility	그럴싸함
precaution	예방책, 주의
pretext	구실
profile	옆얼굴
range	범위, 산맥
recess	휴식
relic	유적, 유물
remedy	치료법(약)
representative	대표자
resort	휴양지
reverence	존경(하다)
reward	보답(하다)
riot	폭동(을 일으키다)
satellite	위성
scrutiny	정밀 검사
sculpture	조각
shade	그늘, 미묘한 차이
slave	노예
snobbery	속물 근성
spokesman	대변인
substance	본질
suppression	억압
tact	재치, 눈치
territory	영토
testimony	증언, 증거
trait	특색
transition	변천, 과도기
treason	반역
admonish	훈계하다
agitate	선동하다
amaze	놀라게 하다
annoy	초조하게 하다
argue	주장하다
assail	공격하다
associate	교제(연상)하다
attract	매혹하다
behave	행동하다
complain	불평하다
confess	자백하다
confound	혼란시키다
conquer	정복하다
consolidate	강화하다
contain	포함하다
crawl	기어가다
decay	부패(하다)
degrade	지위를 내리다
deplore	한탄하다
describe	묘사하다
detach	떼어내다
deteriorate	나빠지다
devise	궁리하다
disarm	비무장화하다
discriminate	구별(차별)하다
disgust	혐오(스러워 하다)
distort	왜곡하다
divert	기분전환 하다
elect	선출하다
embody	구체화하다
enchant	매혹하다
evolve	진화하다
foster	기르다
grudge	원한(을 품다)
implore	탄원하다
induce	권유하다
intercept	가로채다
invert	거꾸로 하다
isolate	고립시키다
magnify	확대(과장)하다
mourn	슬퍼하다
neglect	무시(게을리)하다
penetrate	관통하다
plead	변호(탄원)하다
predetermine	예정하다
preserve	보존(보호)하다
provoke	화나게 하다
reflect	반사(숙고)하다
regret	애석하게 여기다
repent	후회하다
reprove	꾸짖다
restrain	억제하다
retain	보유하다
retreat	퇴각(하다)
salute	인사(하다)
seclude	격리하다
sob	흐느껴 울다
stimulate	자극하다
subdue	정복하다
supervise	감독하다
surround	둘러싸다
tend -	하는 경향이 있다
tolerate	참다, 묵인하다
transfigure	형태를 바꾸다
transmit	전하다, 보내다
utter	발언하다
vote	투표(하다)
wither	시들다, 말라죽다
ample	충분한
astray	길을 잃은
awful	지독한, 몹시 싫은
complacent	자기 만족의
compulsory	의무적인
conventional	인습적인
credible	신뢰할 수 있는
curious	호기심이 강한
diplomatic	외교의
dreary	처량한, 음침한
exquisite	절묘한, 정교한
frivolous	경박한, 하찮은
hideous	소름 끼치는
immortal	불멸의
imperial	제국의, 황제의
incredible	믿을 수 없는
insolent	거만한
lavish	통이 큰, 낭비하다
maternal	어머니의
moderate	적당한
outstanding	눈에 띈
peculiar	독특한, 특유의
perpetual	영원한, 끊임없는
petty	사소한, 작은
potential	가능성이 있는
primal	최초의, 원시의
prodigal	방탕한, 사치스런
prudent	신중한
rapt	넋을 잃은, 골몰한
resourceful	수완이 좋은
rigid	딱딱한, 엄격한
ruthless	무자비한
serene	청명한, 침착한
simultaneous	동시의
slight	적은, 경시하다
stable	안정된, 마구간
stiff	견고한, 딱딱한
subconscious	잠재의식의
superficial	표면의, 천박한
terminal	종점(의)
transient	덧없는, 일시적인
vacant	비어있는
vehement	격심한, 열렬한
vile	비열한, 아주 싫은
visual	시각의, 눈에 보이는
affluence	풍부
altitude	고도, 높이
aristocracy	귀족(정치)
aspiration	열망
beast	짐승
bliss	최고의 기쁨
burden	무거운 짐, 부담
capitalism	자본주의
censure	비난(하다)
collapse	붕괴(되다)
commitment	위탁, 공약
competition	경쟁
concession	양보, 특권
confidence	신뢰, 자신
confusion	혼란, 혼동
conservation	보존, 보호
conspiracy	음모, 공모
controversy	논쟁
conviction	확신
credit	신용
deceit	사기
deficiency	부족
depiction	묘사
dictator	독재자
disarmament	군비축소
disciple	제자
disorder	무질서, 혼란
domain	영토, 영역
equator	적도
faith	신뢰
feat	공적
focus	초점
friction	마찰
germ	세균
greed	탐욕
hygiene	위생
ignorance	무지
indignity	모욕, 경멸
insurance	보험(금)
intruder	침입자
investment	투자
layer	층
malice	악의, 원한
miracle	기적
modesty	겸손
nerve	신경
notion	개념, 생각
outlook	전망, 견해
patent	전매특허
periodical	정기간행물, 잡지
personality	개성, 인격
phase	국면, 단계
plea	탄원, 변명
prisoner	죄수, 포로
prominence	눈에 띔, 명성
ray	광선
recession	후퇴
religion	종교
republic	공화국
riddle	수수께끼
rotation	회전, 순환
scale	규모, 척도
sequence	연속, 결과
shelter	피난처
slavery	노예 제도
specimen	견본
stability	안정
statue	조상(彫像)
submission	복종
summary	요약
suspicion	의심
tactics	전술
temperance	절제
terror	공포
throng	무리(짓다)
traitor	배신자, 반역자
transmission	전달, 송신
trend	경향
tumult	소동
unity	통일
vacuum	진공
wealth	부, 재산
truce	휴전
uttermost	최대한도
vow	맹세(하다)
welfare	복지, 번영
twilight	어스름, 황혼
abandon	포기(단념)하다
absorb	흡수하다
alternate	교대하다
anticipate	기대하다
approve	찬성하다
ascend	오르다
attack	공격하다
bear	참다
breed	기르다
collapse	붕괴하다
compel	억지로 시키다
compose	구성하다
consume	소비하다
continue	계속하다
criticize	흠을 잡다
declare	단언하다
descend	내려가다
devise	고안하다
discourage	실망시키다
display	전시하다
domesticate	길들이다
emphasize	강조하다
encourage	용기를 주다
examine	조사하다
explain	설명하다
explode	폭발하다
face	직면하다
finish	마치다
flourish	번영하다
gain	얻다
gratify	만족시키다
import	수입하다
increase	늘리다
infer	추론하다
initiate	시작하다
investigate	조사하다
maintain	유지하다
mingle	섞다
nourish	영양을 주다
obtain	획득하다
occur	발생하다
participate	참가하다
perspire	땀을 흘리다
postpone	연기하다
pretend	가장하다
prove	증명하다
puzzle	당혹시키다
recall	생각해내다
recognize	인정하다
reduce	줄이다
regard	간주하다
release	해방하다
replace	갈아치우다
require	요구하다
respect	존경하다
restrict	제한하다
reveal	드러내다
scatter	흩뿌리다
solve	해결하다
subtract	감하다
supply	공급하다
suppose	추측하다
surpass	우수하다
utilize	이용하다
withhold	보류해두다
yield	지다, 생산하다
absolute	절대적인
absurd	어리석은
affluent	부유한
arctic	북극의
awkward	서투른
capable	유능한
competent	능력 있는
conclusive	결정적인
consistent	일관된
crucial	결정적인
deficient	불충분한
dependent	의존하는
dismal	우울한
drastic	철저한
efficient	능률적인
enormous	거대한
fertile	기름진, 비옥한
frequent	빈번한, 잦은
frugal	검약한
genuine	진짜의
hostile	적의가 있는
ignoble	비열한
internal	내부의
intricate	복잡한
irrational	불합리한
masculine	남성의
mental	마음의
moderate	적당한
modest	겸허한
mortal	필멸의
numerous	다수의
objective	객관적인, 목적
obstinate	완고한
Occidental	서양의
orthodox	정통의
particular	특별한
patient	인내심이 있는
prior	앞의
profound	심오한
reasonable	이성적인
regular	규칙적인
rude	무례한
sane	제정신의
secure	안전한
senior	연상의
sheer	완전한
significant	중요한
sober	술에 취하지 않은
solemn	엄숙한, 진지한
specific	특정의
substantial	상당한
superficial	천박한
superior	뛰어난
temporary	일시적인
thick	두꺼운
tiny	작은
tranquil	평온한
upset	뒤집힌
valid	유효한
advantage	유리
ancestor	선조
bound	한계
degradation	가격인하
demand	수요
destiny	운명
diversity	다양성
ebb	썰물, 간조
evidence	증거
experience	경험(하다)
feature	특징
gratitude	감사
incidence	발생
institution	설립
justice	정의
means	수단, 방법
minority	소수(파)
obstacle	장해
opportunity	기회
peril	위험
pessimist	비관주의자
prejudice	편견
profit	이익
prose	산문
quality	질, 특질
reluctance	마지못해함
sacrifice	희생
sympathy	동정, 공감
synthesis	종합
threat	위협
tolerance	인내
verse	운문, 시
view	의견
whisper	속삭임
wholesale	도매
bias	편견
theme	주제
thermometer	온도계
treachery	배신, 반역
tyranny	전제정치, 폭정
variety	변화, 다양성
vice	악덕
province	영역, 지방
refuge	은신처
retail	소매
subsequent	다음의, 뒤의
superstition	미신
symmetry	대칭, 균형
taint	얼룩, 더럽히다
testament	유언, 성서
tide	조수, 풍조
transaction	처리, 거래
trap	함정(에 빠지다)
trial	재판, 시도
assimilate	동화(흡수)하다
crumble	붕괴하다
tame	길들이다
relative	상대적인
clumsy	서투른, 조잡한
radical	철저한
barren	불모의, 빈약한
wasteful	낭비하는
external	외부의
complicated	복잡한
feminine	여성의
paternal	아버지의
temperate	적당한, 절제하는
humble	겸허한
stubborn	완고한
evident	명백한
heterodox	이교의, 이단의
posterior	뒤의, 후방의
junior	손아래의, 후배의
considerable	상당한
serene	평온한, 온화한
abolish	폐지하다
affect	영향을 끼치다
alter	바꾸다
analyze	분석하다
attach	붙이다. 첨부하다
attribute	탓으로 돌리다
blame	비난하다
cancel	취소하다
commence	시작하다
compensate	보상하다
conceal	감추다
convey	전하다
deceive	속이다
depend on	의지하다
despise	경멸하다
determine	결심(결정)하다
diffuse	발산(유포)하다
dismiss	해고하다
distinguish	구별하다
emancipate	해방하다
encounter	우연히 만나다
establish	설립하다
exhaust	다 써버리다
explode	폭발하다
extinguish	끄다
fascinate	매료하다
foster	기르다, 보살피다
generate	일으키다
imply	암시하다
include	포함하다
indicate	나타내다
inhabit -	에 살다
isolate	분리하다
memorize	암기하다
neglect	무시하다
